state,district,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum
Sabah,Tawau,4.2435206,117.885331,8.03,28.27,79.39,82.42,12497945.19,1584.9,1480.27,26.43,30.86,7013.84
Sabah,Telupid,5.6272326,117.1307798,7.94,28.48,83.88,83.95,12447511.23,1917.7,1494.25,25.06,33.07,6857.57
Sabah,Tenom,5.1213163,115.941709,8.12,25.85,86.63,84.02,11897870.07,1997.7,1389.93,23.11,30.38,6641.11
Sabah,Tongod,5.2681386,116.9687321,8.0,28.87,85.68,83.71,12525960.64,1922.9,1524.32,25.49,33.65,6925.16
Sabah,Tuaran,6.1762851,116.2328137,8.15,28.36,77.05,80.1,12053735.03,1009.8,1560.08,25.52,31.82,7216.72
Sarawak,Asajaya,1.5421712,110.6127062,7.53,27.4,89.11,86.65,11127270.56,2014.6,1339.65,24.98,30.77,6435.7
Sarawak,Bau,1.417864,110.1553336,7.39,27.45,89.52,86.13,10774204.79,1516.9,1331.14,24.53,31.45,6304.97
Sarawak,Belaga,2.7062161,113.781628,7.84,26.61,91.17,86.37,11431984.24,3586.2,1347.27,23.62,30.87,6454.8
Sarawak,Beluru,3.9749307,114.1020098,8.02,28.04,89.96,85.65,11520941.8,1948.5,1420.03,25.12,32.67,6614.43
Sarawak,Betong,1.4115918,111.5280962,7.45,27.81,89.71,85.92,11090282.58,2074.6,1360.39,24.72,32.07,6405.24
Sarawak,Bintulu,3.1874261,113.0472803,7.79,28.02,89.25,85.32,11655958.3,2315.0,1406.78,25.66,31.21,6712.19
Sarawak,Bukit Mabong,1.76468,113.84103,7.95,23.94,89.75,84.83,11994449.1,3856.5,1331.61,20.8,28.28,6624.06
Sarawak,Dalat,2.7411523,111.9387742,7.43,27.15,89.6,87.17,10806582.93,1893.4,1292.64,24.54,31.05,6176.38
Sarawak,Daro,2.5139835,111.432287,7.65,27.62,88.1,86.12,10997618.58,2003.7,1352.94,25.7,30.34,6520.61
Sarawak,Julau,2.0240673,111.9175529,7.62,27.42,89.91,85.67,11110162.59,2240.2,1347.46,24.47,31.63,6373.06
Sarawak,Kabong,1.8009242,111.1210976,7.53,27.64,88.39,85.7,11075759.64,2238.6,1344.72,25.26,30.68,6450.91
Sarawak,Kanowit,2.0995816,112.1567845,7.64,27.93,90.08,85.83,11353390.35,2347.9,1386.02,24.92,32.02,6512.67
Sarawak,Kapit,2.0139027,112.9356766,7.81,27.17,89.54,85.42,11748104.51,2459.2,1362.59,24.04,31.42,6477.94
Sarawak,Kuching,1.5597561,110.345397,7.56,27.76,89.17,83.91,10818480.92,1706.0,1342.46,25.1,31.41,6308.8
Sarawak,Lawas,4.8596843,115.4082501,8.16,27.74,87.11,85.52,11958988.21,2311.5,1543.6,25.1,31.6,7409.17
Sarawak,Limbang,4.7534355,115.0093036,8.09,27.69,89.4,86.0,11124610.74,2295.6,1425.99,24.53,32.32,6682.68
Sarawak,Lubok Antu,1.0420707,111.8332189,7.53,27.31,89.8,85.61,11284100.96,2038.1,1329.55,24.37,31.37,6305.83
Sarawak,Lundu,1.6716097,109.8536303,7.47,27.39,88.96,85.71,10381593.03,989.4,1281.48,24.62,31.15,6025.03
Sarawak,Maradong,2.16859,111.63471,7.52,27.28,89.33,86.32,11014161.71,1918.1,1328.1,24.34,31.42,6293.2
Sarawak,Marudi,4.1795078,114.3211018,7.98,27.83,90.13,85.57,11286032.07,1939.6,1387.06,24.84,32.47,6469.38
Sarawak,Matu,2.6743932,111.5341451,7.47,27.12,89.6,87.08,10596356.68,1667.8,1291.64,24.43,31.04,6146.92
Sarawak,Miri,4.3940102,113.9880199,7.9,27.94,88.26,84.17,11719995.91,1731.6,1384.57,25.94,30.39,6591.52
Sarawak,Mukah,2.8929774,112.0913318,7.48,27.78,88.61,85.19,11193089.56,2221.7,1387.27,25.74,30.21,6676.39
Sarawak,Pakan,1.8940241,111.6808319,7.53,27.26,89.66,85.89,10770867.66,1912.2,1316.51,24.27,31.38,6212.73
Sarawak,Pusa,1.6177466,111.2928179,7.45,27.8,88.42,85.55,10846706.52,2046.9,1331.25,25.29,31.42,6306.85
Sarawak,Samarahan,1.4596157,110.4954562,7.53,27.44,88.81,85.76,10890342.2,1785.2,1321.31,24.87,30.99,6299.72
Sarawak,Saratok,1.7407755,111.337434,7.51,27.59,88.84,85.81,10826325.14,1927.0,1328.66,24.65,31.64,6260.57
Sarawak,Sarikei,2.1294846,111.5230586,7.54,27.28,89.0,86.36,10917489.68,1800.2,1317.67,24.6,31.16,6265.73
Sarawak,Sebauh,3.1175031,113.2648667,7.76,27.8,90.65,86.86,11381134.27,2160.6,1356.71,24.97,32.01,6390.01
Sarawak,Selangau,2.5241705,112.3259835,7.57,27.72,90.35,86.19,11094901.1,2345.5,1343.82,24.76,31.68,6318.24
Sarawak,Serian,1.1692688,110.5689799,7.53,27.48,89.01,85.82,11044253.27,1902.9,1348.8,24.51,31.49,6379.78
Sarawak,Sibu,2.2906434,111.8256158,7.53,27.39,89.59,86.03,11037328.71,2198.9,1338.83,24.72,31.34,6371.97
Sarawak,Simunjan,1.3951254,110.751254,7.47,27.69,88.72,85.43,11102421.78,1813.9,1353.36,24.94,31.42,6416.54
Sarawak,Song,2.0069038,112.5493271,7.59,27.62,89.83,85.54,11531372.75,2518.3,1372.59,24.59,31.84,6478.65
Sarawak,Sri Aman,1.2376156,111.462148,7.53,27.81,89.75,85.73,11098124.03,2163.9,1354.41,24.76,31.96,6384.38
